scenario,domain,issue_id
"I got a call from someone saying he was from the SBI credit card department and my card would be blocked unless I verified some details. He asked for the OTP that came on my phone and like a fool I told him. Within five minutes Rs 48,000 was gone from my account.",cyber_fraud,otp_fraud
"caller said he is from bank kyc team and my accont will freeze today itself. he askd otp i shared it and 25000 got debited two times",cyber_fraud,otp_fraud
"My father received a phone call about his pension account verification. The person knew his name and branch details. They made him read out the code that came by SMS and then money was transferred out of his savings account.",cyber_fraud,otp_fraud
"Someone posing as a PhonePe support executive asked me to share the 6 digit code to reverse a failed transaction. After I gave it, Rs 15,000 was sent from my wallet to an unknown number.",cyber_fraud,otp_fraud
"I ordered a cake online and got a call saying the delivery boy needs a confirmation OTP. I told him the number and immediately got a debit alert of Rs 9,999 from my UPI account.",cyber_fraud,otp_fraud
"Somebody made a fake Instagram account with my photos and my real name and is messaging my relatives asking for money saying I am in hospital.",cyber_fraud,online_impersonation
"A man called my mother claiming to be a police inspector from the Delhi cyber cell. He said my brother was caught in a case and demanded money on the phone to settle it. It was completely fake, my brother was sitting at home.",cyber_fraud,online_impersonation
"someone is using my boss photo on whatsap dp and messaging office staff to buy amazon gift cards urgent. two people already sent cards worth 10k",cyber_fraud,online_impersonation
"I matched with a person on a matrimonial site who claimed to be an NRI doctor in London. After weeks of chatting he started asking for money for customs clearance of expensive gifts he said he sent me. The whole profile turned out to be fake.",cyber_fraud,online_impersonation
"A fake customer care number of a courier company was showing on Google search. The person on that number pretended to be from the courier office, took my details and charged my card.",cyber_fraud,online_impersonation
"I received an SMS saying my electricity will be disconnected tonight and to update the bill through a link. The link opened a page looking exactly like the electricity board site asking for card details.",cyber_fraud,phishing
"recived email looking like income tax dept saying refund of 12340 is pending, click link and login with netbanking. site was fake i enterd my hdfc password there",cyber_fraud,phishing
"My wife clicked on a WhatsApp link offering free festival gift hampers from a big brand. It asked her to forward the link to ten groups and then enter her phone number and bank details on a form.",cyber_fraud,phishing
"A message came saying my SIM will be deactivated due to pending KYC. It opened a page designed like the telecom company website asking me to enter my PAN number and an OTP.",cyber_fraud,phishing
"Someone sent me a payment request on a UPI app disguised as a refund. The message said accept to receive Rs 5,000 but accepting it would have actually sent money from my side.",cyber_fraud,phishing
"I found out a SIM card was issued in my name in another state which I never applied for. Someone must have used a photocopy of my Aadhaar from somewhere.",cyber_fraud,identity_theft
"When I applied for a car loan the bank said my credit report shows an existing personal loan of 3 lakh which I never took. Somebody used my PAN details to take a loan in my name.",cyber_fraud,identity_theft
"someone opened paytm wallet with my number and aadhar xerox which i gave in shop. now recovery agents calling me daily for loan i never took",cyber_fraud,identity_theft
"The documents I submitted for a rental agreement were misused. A mobile connection and a payment wallet were created in my name and used for some fraud, and now I have received a notice about it.",cyber_fraud,identity_theft
"I joined a Telegram group for stock tips where an expert promised guaranteed double returns in 30 days through their special app. I invested Rs 2 lakh and the app shows profit but never lets me withdraw anything.",cyber_fraud,other_online_financial_fraud
"A work from home offer asked me to like videos for money. First they paid small amounts to build trust, then asked me to deposit Rs 30,000 as a task advance to unlock bigger earnings, and then blocked me.",cyber_fraud,other_online_financial_fraud
"my friend told me about one app giving 3 percent daily interest. i put 50000 in it, site worked for 2 months then suddenly vanished with everyone money",cyber_fraud,other_online_financial_fraud
"I got an email saying I won 25 lakh in a lucky draw and they asked for a processing fee of Rs 8,500 first. After I paid it they asked for GST charges also, and that is when I realised it was fraud.",cyber_fraud,other_online_financial_fraud
"I ordered two sarees from an Instagram page after paying the full amount by UPI. They keep posting new collections every day but never shipped my order, and they blocked me when I asked for my money back.",cyber_fraud,other_online_financial_fraud
"My Gmail was hacked yesterday. The password and recovery number were changed and now the hacker is emailing my contacts asking them for money.",cyber_fraud,unauthorized_account_access
"somebody logged into my instgram and posted crypto ads from my accont. i cant login anymore recovery email also changed",cyber_fraud,unauthorized_account_access
"I noticed orders in my food delivery and shopping accounts that I never placed. Someone has my password from somewhere and has been quietly using my saved card.",cyber_fraud,unauthorized_account_access
"My WhatsApp got taken over after I missed a call from an international number and someone entered a verification code. Now my account is being used to ask all my contacts for urgent money transfers.",cyber_fraud,unauthorized_account_access
"I bought a 55 inch smart TV from a local dealer during the festival sale and the display developed lines within ten days. The dealer says only the company can help and the company is not responding.",consumer_issues,defective_product
"The washing machine delivered to us makes a loud grinding noise from day one and stops in the middle of every cycle. The service engineer has visited twice but it is still not fixed.",consumer_issues,defective_product
"new phone from shop heating too much. battery draining in 2 hrs. shopkeeper says no return, only service center will see",consumer_issues,defective_product
"I ordered a mixer grinder online and received one with a cracked jar and a burning smell from the motor. The seller approved the return request but the pickup never actually happens.",consumer_issues,defective_product
"The pressure cooker I bought last month burst its safety valve while cooking and the lid got deformed. It was sold as ISI marked but it looks like a duplicate product to me now.",consumer_issues,defective_product
"Bought school shoes for my son and the sole came off within one week. The shop is refusing to even look at them saying sale items carry no guarantee.",consumer_issues,defective_product
"I cancelled my flight ticket well within the free cancellation window but the travel portal has not refunded my Rs 11,200 even after 45 days of promising 7 working days.",consumer_issues,refund_denial
"The clothing website return policy says 15 days but when I raised a return for a kurta on day 5 they rejected it saying offer items cannot be returned. Nothing like that was mentioned while buying.",consumer_issues,refund_denial
"gym took full year fees 18000 and closed branch in 3 months. said refund will come but now not even reciving my calls",consumer_issues,refund_denial
"I paid an advance booking amount for a scooter and later cancelled because the delivery was delayed by four months. The showroom is refusing to return my booking amount of Rs 5,000.",consumer_issues,refund_denial
"The coaching institute promised a full refund within the first two weeks if not satisfied. I applied on the tenth day and they now say admission fee and kit charges are non refundable and are offering only half.",consumer_issues,refund_denial
"The shopping app collected money twice for one order because of a payment retry. Customer care accepted that a double payment happened but the extra amount has never been credited back.",consumer_issues,refund_denial
"A skin cream advertised on TV claimed visible results in 7 days with clinical proof. I used it for two months and nothing happened, and later I noticed fine print saying results may vary person to person.",consumer_issues,misleading_advertisement
"The hoarding said flat 70 percent off on all furniture but inside the shop the discount was only on two old sofa models. They are pulling people in with false offers.",consumer_issues,misleading_advertisement
"an institute ad said 100 percent placement guarantee with minimum 6 lakh package. after the course they arranged only one interview for a 12k per month job",consumer_issues,misleading_advertisement
